Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;BRANKICA DENIS;NIKOLA DENIS;DRAGAN RADIÆ
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;STARO PETROVO SELO;001;VRBOVA;DRUŠTVENI DOM VRBOVA;VRBOVA;744;280;280;278;2;56;167;55
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;STARO PETROVO SELO;002;KOMARNICA;DRUŠTVENI DOM KOMARNICA;KOMARNICA;186;101;101;97;4;37;54;6
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;STARO PETROVO SELO;003;BLAŽEVIÆ DOL;DRUŠTVENI DOM BLAŽEVIÆ DOL;BLAŽEVIÆ DOL;124;50;50;50;0;8;39;3
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;STARO PETROVO SELO;004;GODINJAK;"OŠ ""IVAN GORAN KOVAÈIÆ""";GODINJAK;546;304;304;300;4;153;135;12
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;STARO PETROVO SELO;005;TISOVAC;"OSNOVNA ŠKOLA ""IVAN GORAN KOVAÈIÆ"", PODRUÈNI ODJEL TISOVAC";TISOVAC;287;170;170;168;2;49;113;6
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;STARO PETROVO SELO;006;LAZE;OSNOVNA ŠKOLA VLADIMIR NAZOR ADŽAMOVCI;LAZE;249;121;121;116;5;33;81;2
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;STARO PETROVO SELO;007;GORNJI CRNOGOVCI;"DRUŠTVENI DOM ""STRAŽA"" GORNJI CRNOGOVCI";GORNJI CRNOGOVCI;88;43;43;42;1;24;18;0
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;STARO PETROVO SELO;008;DONJI CRNOGOVCI;DRUŠTVENI DOM DONJI CRNOGOVCI;DONJI CRNOGOVCI;91;60;60;59;1;22;36;1
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;STARO PETROVO SELO;009;STARO PETROVO SELO;VATROGASNI DOM STARO PETROVO SELO;FRANKOPANSKA 4;762;344;344;339;5;111;215;13
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;STARO PETROVO SELO;010;STARO PETROVO SELO;DRUŠTVENI DOM STARO PETROVO SELO;MATIJE GUPCA 31;603;316;316;308;8;90;210;8
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;STARO PETROVO SELO;011;ŠTIVICA;VATROGASNI DOM ŠTIVICA;ŠTIVICA;403;210;210;206;4;62;134;10
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;STARO PETROVO SELO;012;OŠTRI VRH;DRUŠTVENI DOM OŠTRI VRH;OŠTRI VRH;131;82;82;81;1;14;63;4
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;STARO PETROVO SELO;013;VLADISOVO;PRIVATNA KUÆA MILANA VUKOVIÆA;VLADISOVO 4;6;4;4;4;0;0;4;0
