Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;JELENA IVEZIÆ;MATIJA JOŠIÆ;ZORAN NOŽINIÆ;ANTUN PAVETIÆ
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;ORIOVAC;001;RADOVANJE;DRUŠTVENI DOM RADOVANJE;RADOVANJE  BB;237;138;138;138;0;78;20;4;36
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;ORIOVAC;002;ORIOVAC;PROSTORIJE KUD-A L. I. ORIOVÈANIN ORIOVAC;ORIOVAC, FRANKOPANSKA 20;976;509;509;502;7;122;185;13;182
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;ORIOVAC;003;SLAVONSKI KOBAŠ;PODRUÈNA ŠKOLA DR. STJEPAN ILIJAŠEVIÆ SLAVONSKI KOBAŠ;SLAVONSKI KOBAŠ, ULICA ZNG BB;935;457;457;443;14;184;103;18;138
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;ORIOVAC;004;LUŽANI;DRUŠTVENI DOM LUŽANI;LUŽANI, VLADIMIRA NAZORA BB;826;316;316;310;6;102;65;25;118
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;ORIOVAC;005;CIGLENIK;DRUŠTVENI DOM;CIGLENIK B.B.;128;74;74;72;2;8;7;3;54
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;ORIOVAC;006;BEÈIC;PRIVATNA KUÆA;BEÈIC 49;85;56;56;55;1;8;9;4;34
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;ORIOVAC;007;ŽIVIKE;DRUŠTVENI DOM;ŽIVIKE B.B.;179;83;83;81;2;35;6;0;40
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;ORIOVAC;008;PRIÈAC;DRUŠTVENI DOM PRIÈAC;PRIÈAC BB;82;36;36;36;0;17;1;0;18
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;ORIOVAC;009;ORIOVAC;DRUŠTVENI DOM ORIOVAC;ORIOVAC, TRG HRVATSKOG PREPORODA 1;557;279;279;275;4;76;88;11;100
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;ORIOVAC;010;KUJNIK;DRUŠTVENI DOM KUJNIK;KUJNIK BB;259;135;135;133;2;38;39;11;45
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;ORIOVAC;011;MALINO;DRUŠTVENI DOM MALINO;MALINO, MATIJE GUPCA BB;419;192;192;185;7;93;27;25;40
