Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  IVAN ŠMIT
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;001;MAGIÆ MALA;DRUŠTVENI DOM;MAGIÆ MALA, BRANKA BERTOVIÆA 60;303;170;170;166;4;15;20;131
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;002;SEOCE;DRUŠTVENI DOM;SEOCE 66;217;123;123;118;5;15;24;79
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;003;SIÈE;DRUŠTVENI DOM;SIÈE, RADINJSKA 1;231;135;135;134;1;22;24;88
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;004;DONJI LIPOVAC;DRUŠTVENI DOM;DONJI LIPOVAC 46;190;118;118;118;0;5;31;82
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;005;SREDNJI LIPOVAC;DRUŠTVENI DOM;SREDNJI LIPOVAC 55;207;125;125;121;4;8;41;72
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;006;GORNJI LIPOVAC;DRUŠTVENI DOM;GORNJI LIPOVAC BB;59;35;35;32;3;6;14;12
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;007;STARA KAPELA;DRUŠTVENI DOM;STARA KAPELA 13;12;8;8;8;0;2;4;2
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;008;PAVLOVCI;OSNOVNA ŠKOLA PAVLOVCI;PAVLOVCI 33;23;9;9;9;0;2;4;3
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;009;BILI BRIG;DRUŠTVENI DOM;BILI BRIG 54;221;136;136;134;2;12;34;88
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;010;NOVA KAPELA;VATROGASNI DOM;NOVA KAPELA, VLADIMIRA NAZORA BB;326;215;215;210;5;13;40;157
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;011;NOVA KAPELA;HRVATSKI DOM;NOVA KAPELA, TRG KRALJA TOMISLAVA 9;390;224;224;217;7;19;58;140
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;012;DRAGOVCI;DRUŠTVENI DOM;DRAGOVCI 144;305;149;149;145;4;13;31;101
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;013;BATRINA;DRUŠTVENI DOM;BATRINA, A. STARÈEVIÆA 2;431;228;228;219;9;49;38;132
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;014;BATRINA;"OŠ ""ANTUN MIHANOVIÆ"" BATRINA";BATRINA, STJEPANA RADIÆA 156;353;205;205;198;7;23;58;117
