Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;VINKO GRGIÆ;JOSIP KUŠ;KRUNOSLAV PECARIÆ;MIRELA RELKOVIÆ;DAVORIN SLIŠURIÆ;IVANA TRUPINA;TOMISLAV VLAOVIÆ
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;001;NOVA GRADIŠKA;UPRAVA ŠUMA;J.J. STROSSMAYERA 9;962;476;476;466;10;343;11;3;14;64;24;7
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;002;NOVA GRADIŠKA;OŠ MATO LOVRAK;M.BENKOVIÆA 39;839;411;411;395;16;236;6;6;28;72;41;6
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;003;NOVA GRADIŠKA;KUÆA VLASNIŠTVO GRADA NOVA GRADIŠKA - ULAZ BR. 1;NOVA GRADIŠKA, KRALJA DMITRA ZVONIMIRA 106;883;351;351;345;6;246;11;4;10;52;22;0
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;004;NOVA GRADIŠKA;KUÆA VLASNIŠTVO GRADA NOVA GRADIŠKA - ULAZ BR. 2;KRALJA DMITRA ZVONIMIRA 106;697;287;287;281;6;158;3;3;13;78;18;8
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;005;NOVA GRADIŠKA;PRIVATNA KUÆA MIROSLAVA STRINAVIÆA;I.G. KOVAÈIÆA 30;1101;377;377;364;13;218;15;12;11;71;35;2
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;006;NOVA GRADIŠKA;"OŠ ""LJUDEVIT GAJ""";LJUDEVITA GAJA 24;1110;514;514;502;12;309;7;17;41;78;40;10
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;007;NOVA GRADIŠKA;"""SLAVÈA"" D.O.O.";LJUDEVITA GAJA 56;796;364;364;357;7;213;6;17;12;61;44;4
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;008;NOVA GRADIŠKA;DRUŠTVENI DOM;TRG DR. FRANJE TUÐMANA 1;1009;521;521;509;12;322;11;5;20;88;57;6
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;009;NOVA GRADIŠKA;DOM KULTURE;RELKOVIÆEVA 4;604;279;279;271;8;178;8;0;13;38;27;7
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;010;NOVA GRADIŠKA;DOM MALA;MALA 92;929;452;452;439;13;271;14;8;19;91;25;11
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;011;NOVA GRADIŠKA;GRADSKA VIJEÆNICA;TRG K. TOMISLAVA 1;974;433;433;422;11;271;15;9;6;68;42;11
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;012;NOVA GRADIŠKA;"PROGNANIÈKO NASELJE ""KOVAÈEVAC""";UPRAVNA ZGRADA BB;584;251;251;243;8;132;6;1;15;65;20;4
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;013;NOVA GRADIŠKA;PODRUÈNA ŠKOLA LJUPINA;LJUPINA;774;388;387;372;15;247;12;5;17;52;27;12
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;014;NOVA GRADIŠKA;DRUŠTVENI DOM PRVÈA;PRVÈA BB;611;275;275;272;3;173;4;5;9;59;17;5
