Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;BRANKO CINDRIÆ;IVAN ŠMIT;HRVOJE WDOVJAK
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;001;MAGIÆ MALA;DRUŠTVENI DOM;MAGIÆ MALA, BRANKA BERTOVIÆA 60;303;170;170;169;1;14;144;11
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;002;SEOCE;DRUŠTVENI DOM;SEOCE 66;217;123;123;120;3;20;88;12
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;003;SIÈE;DRUŠTVENI DOM;SIÈE, RADINJSKA 1;231;135;135;134;1;21;93;20
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;004;DONJI LIPOVAC;DRUŠTVENI DOM;DONJI LIPOVAC 46;190;118;118;117;1;27;83;7
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;005;SREDNJI LIPOVAC;DRUŠTVENI DOM;SREDNJI LIPOVAC 55;207;125;125;121;4;35;81;5
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;006;GORNJI LIPOVAC;DRUŠTVENI DOM;GORNJI LIPOVAC BB;59;35;35;33;2;11;19;3
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;007;STARA KAPELA;DRUŠTVENI DOM;STARA KAPELA 13;12;8;8;8;0;3;3;2
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;008;PAVLOVCI;OSNOVNA ŠKOLA PAVLOVCI;PAVLOVCI 33;23;9;9;9;0;5;3;1
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;009;BILI BRIG;DRUŠTVENI DOM;BILI BRIG 54;221;136;136;133;3;28;98;7
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;010;NOVA KAPELA;VATROGASNI DOM;NOVA KAPELA, VLADIMIRA NAZORA BB;326;215;215;213;2;37;168;8
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;011;NOVA KAPELA;HRVATSKI DOM;NOVA KAPELA, TRG KRALJA TOMISLAVA 9;390;224;224;223;1;38;174;11
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;012;DRAGOVCI;DRUŠTVENI DOM;DRAGOVCI 144;305;149;149;148;1;23;112;13
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;013;BATRINA;DRUŠTVENI DOM;BATRINA, A. STARÈEVIÆA 2;431;228;228;223;5;22;156;45
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;NOVA KAPELA;014;BATRINA;"OŠ ""ANTUN MIHANOVIÆ"" BATRINA";BATRINA, STJEPANA RADIÆA 156;353;205;205;199;6;46;128;25
