Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  LUKA OBRADOVIÆ
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;001;PRIVATNA KUÆA ANTOLOVIÆ ZDENKO;EMINOVCI;VUKOVARSKA 66;234;45;45;42;3;26;16
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;002;PROSTORIJE NA STADIONU NK EMINOVCI;EMINOVCI;VUKOVARSKA 132C;305;87;87;82;5;57;25
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;003;"PROSTORIJE OŠ ""MLADOST"", PO TREŠTANOVCI";TREŠTANOVCI;TREŠTANOVCI 53;162;71;71;66;5;46;20
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;004;PRIVATNA KUÆA BIONDIÆ MARIJA;SVETINJA;SVETINJA 1;44;23;23;23;0;15;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;005;DRUŠTVENI DOM;BERTELOVCI;BERTELOVCI 47A;121;55;55;47;8;40;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;006;"PROSTORIJE OŠ ""MLADOST"", PO TEKIÆ";TEKIÆ;TEKIÆ 30;210;107;107;102;5;73;29
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;007;PRIVATNA KUÆA ŠOP ŽELJKO;JAKŠIÆ;KOLODVORSKA 213;208;83;83;80;3;46;34
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;008;"OSNOVNA ŠKOLA ""MLADOST""";JAKŠIÆ;KOLODVORSKA 2;834;352;352;334;18;204;130
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;009;NOVI VATROGASNI DOM;JAKŠIÆ;PAVLA RADIÆA 2B;489;166;166;152;14;107;45
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;010;DRUŠTVENI DOM;RADNOVAC;RADNOVAC 38;159;54;54;48;6;32;16
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;011;DRUŠTVENI DOM;RAJSAVAC;RAJSAVAC 44;277;139;139;132;7;100;32
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;012;"PROSTORIJE OŠ ""MLADOST"", PO CEROVAC";CEROVAC;CEROVAC 26;193;82;82;78;4;56;22
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;013;PRIVATNA KUÆA MAJETIÆ SLAVICA;GRANJE;GRANJE 6;64;12;12;10;2;6;4
