Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;MIRSADA POPOVIÆ DAMJANOVIÆ
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;001;OSNOVNA ŠKOLA - BADLJEVINA;BADLJEVINA;TRG DR. FRANJE TUÐMANA 4;19;1;1;1;0;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;002;VATROGASNI DOM - OMANOVAC;OMANOVAC;OMANOVAC 6 B;10;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;003;"""ZAJEDNICA ŠPANOVÈANA"" - ŠPANOVICA";ŠPANOVICA;ŠPANOVICA 24;57;23;23;21;2;21
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;004;DRUŠTVENI DOM - NOVI MAJUR;NOVI MAJUR;NOVI MAJUR 12;2;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;005;DRUŠTVENI DOM - STARI MAJUR;STARI MAJUR;STARI MAJUR 12A;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;006;OSNOVNA ŠKOLA - PREKOPAKRA;PREKOPAKRA;DR. A. STARÈEVIÆA 23;26;2;2;2;0;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;007;OSNOVNA ŠKOLA -  BATINJANI;BATINJANI;BATINJANI 53;4;1;1;1;0;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;008;OSNOVNA ŠKOLA - DONJA OBRIJEŽ;DONJA OBRIJEŽ;DONJA OBRIJEŽ 50;1;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;009;ZGRADA AMBULANTE - PLOŠTINE;PLOŠTINE;PLOŠTINE 54A;1;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;010;"LOVAÈKA KUÆA LD ""FAZAN"" - KAPETANOVO POLJE";KAPETANOVO POLJE;DONJA OBRIJEŽ 131;6;1;1;1;0;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;011;DRUŠTVENI DOM - VELIKI BANOVAC;VELIKI BANOVAC;VELIKI BANOVAC 18;5;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;012;DRUŠTVENI DOM - TORANJ;TORANJ;TORANJ 80;17;7;7;6;1;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;013;DRUŠTVENI DOM - KRAGUJ;KRAGUJ;KRAGUJ 28;45;19;19;19;0;19
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;014;"DJEÈJI VRTIÆ ""MASLAÈAK"" -  PAKRAC";PAKRAC;MATICE HRVATSKE 13B;212;46;46;41;5;41
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;015;OSNOVNA ŠKOLA (NOVA) - PAKRAC;PAKRAC;BOLNIÈKA 55;79;6;6;6;0;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;016;HCK - HRVATSKI CRVENI KRIŽ - PAKRAC;PAKRAC;BRAÆE RADIÆA 13;54;3;3;3;0;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;017;GLAZBENA ŠKOLA - PAKRAC;PAKRAC;TRG BANA J. JELAÈIÆA 1;161;10;10;9;1;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;018;SREDNJA ŠKOLA (PEDAGOŠKA) - PAKRAC;PAKRAC;ALEJA KESTENOVA 37;48;1;1;1;0;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;019;"ZGRADA ""STARE KUGLANE""  -  PAKRAC";PAKRAC;LEPTIROVO BRDO 1;37;2;2;2;0;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;020;DRUŠTVENI DOM - ŠUMETLICA;ŠUMETLICA;GORNJA ŠUMETLICA;47;20;20;20;0;20
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;021;"LOVAÈKA KUÆA LD ""KOŠUTA"" - BRANEŠCI";BRANEŠCI;BRANEŠCI 3;103;35;35;34;1;34
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;022;LAKTOFRIZ KUSONJE;KUSONJE;KUSONJE BB;165;53;53;51;2;51
