Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS;HRVATSKA SELJAÈKA STRANKA - HSS;HRVATSKA STRANKA PRAVA - HSP, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, DOMOVINSKI POKRET - DP;PLAVO ZELENA STRANKA - PZS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, CENTAR
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;001;GORNJA GRAÈENICA;DOM GORNJA GRAÈENICA;GORNJA GRAÈENICA;846;453;453;444;9;156;7;35;176;14;56
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;002;CIGLENICA;DOM CIGLENICA;CIGLENICA;102;65;65;65;0;29;2;4;17;2;11
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;003;VOLODER;HRVATSKI PUÈKI DOM VOLODER;VOLODER;769;359;359;346;13;161;7;20;112;10;36
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;004;VOLODER;NOVA ŠKOLA;VOLODER;677;364;364;346;18;165;3;13;128;5;32
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;005;DONJI KRIVAJ;VATROGASNI DOM;DONJI KRIVAJ;106;50;50;49;1;14;1;2;29;0;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;006;DONJA GRAÈENICA;DOM DONJA GRAÈENICA;DONJA GRAÈENICA;692;390;390;375;15;198;17;88;54;5;13
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;007;OSEKOVO;DOM OSEKOVO;OSEKOVO;706;426;426;417;9;258;2;13;42;52;50
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;008;GORNJA JELENSKA;DOM GORNJA JELENSKA;GORNJA JELENSKA;615;405;404;395;9;136;2;11;218;6;22
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;009;MOSLAVAÈKA SLATINA;ŠKOLA MOSLAVAÈKA SLATINA;MOSLAVAÈKA SLATINA;68;38;38;36;2;4;1;1;20;0;10
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;010;PODBRÐE;VATROGASNI DOM;PODBRÐE;150;101;101;98;3;32;2;3;54;0;7
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;011;POPOVAÈA;DOM KULTURE;POPOVAÈA;885;514;514;496;18;182;9;10;199;11;85
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;012;POPOVAÈA;OSNOVNA ŠKOLA;POPOVAÈA;1122;623;623;610;13;129;18;9;342;15;97
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;013;POPOVAÈA;VATROGASNI DOM;POPOVAÈA;1462;787;787;761;26;272;17;26;305;24;117
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;014;STRUŽEC;DOM STRUŽEC;STRUŽEC;528;280;280;271;9;110;2;26;91;5;37
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;015;DONJA JELENSKA;DOM U DONJOJ JELENJSKOJ;DONJA JELENSKA;57;43;43;42;1;15;0;14;3;0;10
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;016;POTOK;ŠKOLA POTOK;POTOK;404;191;191;187;4;74;1;8;68;8;28
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;017;POTOK;DOM POTOK;POTOK;270;168;168;166;2;85;2;8;39;1;31
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;018;DONJA VLAHINIÈKA;DOM DVD-A;DONJA VLAHINIÈKA;311;172;172;166;6;41;38;2;63;6;16
