Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;SAŠA JAGARÈEC;JOSIP MIŠKOVIÆ;ROMAN ROSAVEC;MIŠKO ŠKLEMPE
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;001;GORNJA GRAÈENICA;DOM GORNJA GRAÈENICA;GORNJA GRAÈENICA;846;453;453;442;11;56;200;157;29
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;002;CIGLENICA;DOM CIGLENICA;CIGLENICA;102;65;65;65;0;7;25;30;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;003;VOLODER;HRVATSKI PUÈKI DOM VOLODER;VOLODER;769;359;359;340;19;34;142;146;18
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;004;VOLODER;NOVA ŠKOLA;VOLODER;677;364;364;351;13;32;158;153;8
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;005;DONJI KRIVAJ;VATROGASNI DOM;DONJI KRIVAJ;106;50;50;49;1;5;31;13;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;006;DONJA GRAÈENICA;DOM DONJA GRAÈENICA;DONJA GRAÈENICA;692;390;390;382;8;10;85;209;78
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;007;OSEKOVO;DOM OSEKOVO;OSEKOVO;706;426;426;416;10;51;56;293;16
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;008;GORNJA JELENSKA;DOM GORNJA JELENSKA;GORNJA JELENSKA;615;405;404;397;7;20;243;126;8
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;009;MOSLAVAÈKA SLATINA;ŠKOLA MOSLAVAÈKA SLATINA;MOSLAVAÈKA SLATINA;68;38;38;37;1;11;24;2;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;010;PODBRÐE;VATROGASNI DOM;PODBRÐE;150;101;101;98;3;12;56;27;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;011;POPOVAÈA;DOM KULTURE;POPOVAÈA;885;514;514;497;17;71;241;179;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;012;POPOVAÈA;OSNOVNA ŠKOLA;POPOVAÈA;1122;627;627;614;13;84;392;129;9
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;013;POPOVAÈA;VATROGASNI DOM;POPOVAÈA;1462;787;787;765;22;107;368;264;26
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;014;STRUŽEC;DOM STRUŽEC;STRUŽEC;528;280;278;267;11;41;105;102;19
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;015;DONJA JELENSKA;DOM U DONJOJ JELENJSKOJ;DONJA JELENSKA;57;43;43;43;0;10;3;18;12
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;016;POTOK;ŠKOLA POTOK;POTOK;404;197;197;193;4;31;77;78;7
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;017;POTOK;DOM POTOK;POTOK;270;168;168;167;1;32;48;79;8
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;018;DONJA VLAHINIÈKA;DOM DVD-A;DONJA VLAHINIÈKA;311;186;186;179;7;15;106;54;4
