Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DANIEL BERDAIS;IVAN CELJAK;LUCA GAŠPAR ŠAKO;ADELINA IVKOVIÆ;DAMIR MARKUŠ;IVO ŽINIÆ
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;001;GLINA;HRVATSKI DOM;UL. STJEPANA I ANTUNA RADIÆA 10;607;337;337;314;23;71;84;25;5;25;104
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;002;GLINA;KNJIŽNICA I ÈITAONICA GLINA;UL.STJEPANA I ANTUNA RADIÆA 10;302;146;146;141;5;20;53;9;0;16;43
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;003;GLINA;DOM JUKINAC;JUKINAÈKA 41;730;424;424;404;20;59;159;10;5;40;131
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;004;GLINA;"DJEÈJI VRTIÆ ""BUBAMARA""";FRANKOPANSKA 33;559;309;309;281;28;73;94;24;2;17;71
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;005;GLINA;OSNOVNA ŠKOLA GLINA;ANTE STARÈEVIÆA 1;389;188;188;172;16;64;47;9;8;3;41
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;006;GLINA;ŠATOR 1.IZA ZGRADE DRŽAVNE GEODETSKE UPRAVE;VUKOVARSKA 39;110;62;62;52;10;23;14;3;3;0;9
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;007;GLINA;ŠATOR 2.IZA ZGRADE DRŽAVNE GEODETSKE UPRAVE;VUKOVARSKA 39;447;233;233;215;18;42;65;13;9;21;65
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;008;GLINA;PROSTORIJE UDRUGE MATICE UMIROVLJENIKA;TRG DR.FRANJE TUÐMANA 15;680;404;404;375;29;59;142;31;4;31;108
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;009;MARIN BROD;"ŠATOR ISPRED ""HRVATSKE KORABLJE"" MARINBROD";MARIN BROD 26;300;204;204;188;16;15;57;8;0;16;92
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;010;NOVO SELO GLINSKO;ŠATOR ISPRED VATROGASNOG DOMA;NOVO SELO GLINSKO;85;68;68;66;2;2;32;2;0;12;18
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;011;HAÐER;ŠATOR ISPRED DRUŠTVENOG DOMA HAÐER;HAÐER;254;187;187;184;3;12;91;9;2;15;55
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;012;GORNJI VIDUŠEVAC;PROSTORIJE OSNOVNE ŠKOLE;GORNJI VIDUŠEVAC;515;313;313;295;18;20;137;20;3;11;104
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;013;STANKOVAC;ŠATOR ISPRED DRUŠTVENOG DOMA;STANKOVAC;74;40;40;38;2;0;18;0;0;1;19
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;014;SLATINA POKUPSKA;"ŠATOR  ISPRED ""RADIO BANOVINA"" D.O.O.";SLATINA POKUPSKA 80;77;47;47;45;2;5;29;0;0;0;11
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;015;GORNJA BUÈICA;VATROGASNI DOM DVD BUÈICA;GORNJA BUÈICA 8;370;134;134;128;6;5;63;12;1;6;41
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;016;GORNJE SELIŠTE;DRUŠTVENI DOM;GORNJE SELIŠTE;241;105;105;94;11;54;15;10;3;2;10
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;017;MAJA;OSNOVNA ŠKOLA;MAJA;516;238;235;209;26;50;90;9;10;9;41
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;018;MALI GRADAC;PROSTORIJE VATROGASNOG DOMA MALI GRADAC;MALI GRADAC 76;250;113;111;86;25;30;17;11;8;2;18
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;019;DRAGOTINA;ŠATOR ISPRED STARE ZGRADE PREHRAMBENE INDUSTRIJE PETRINJA U DRAGOTINI/BLIZINA OSNOVNE ŠKOLE/;DRAGOTINA;388;161;160;100;60;47;28;5;5;3;12
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;001;"HRVATSKA KOSTAJNICA - ""DONJI GRAD""";PROSTORIJE MAGISTRATA;TRG N. Š. ZRINSKOG;429;201;201;181;20;29;124;5;3;14;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;002;"HRVATSKA KOSTAJNICA - ""CENTAR""";HRVATSKI DOM;ULICA VLADIMIRA NAZORA 17;510;251;251;243;8;36;179;10;3;10;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;003;"HRVATSKA KOSTAJNICA - ""GORNJI GRAD""";"PROSTORIJE SREDNJE ŠKOLE ""IVANA TRNSKOG"" HRVATSKA KOSTAJNICA";HRVATSKA KOSTAJNICA;658;245;245;230;15;49;140;7;7;11;16
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;004;ÈUKUR;PROSTORIJE MJESNOG ODBORA ÈUKUR;ÈUKUR BB;85;40;40;35;5;10;17;2;1;0;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;005;PANJANI;PROSTORIJE MJESNOG ODBORA PANJANI;PANJANI BB;113;48;48;46;2;12;29;1;0;3;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;006;ROSULJE;"PROSTORIJE ŠRU ""UNA""";ROSULJE 92;177;86;86;81;5;18;57;2;2;1;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;007;SELIŠTE KOSTAJNIÈKO;PROSTORIJE MJESNOG ODBORA SELIŠTE KOSTAJNIÈKO;SELIŠTE KOSTAJNIÈKO BB;84;57;57;57;0;6;50;0;0;1;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;008;UTOLICA;PROSTORIJE MJESNOG ODBORA UTOLICA;UTOLICA BB;72;29;29;28;1;6;14;3;1;3;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;001;KUTINA;O.Š. STJEPAN KEFELJA - PROSTOR BR. 1;NIKOLE TESLE 1;1235;525;525;495;30;107;209;32;3;122;22
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;002;KUTINA;TEHNIÈKA ŠKOLA KUTINA - PROSTOR BR. 1;HRVATSKIH BRANITELJA 6;478;151;151;144;7;32;54;9;2;41;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;003;KUTINA;"O.Š. ""VLADIMIR VIDRIÆ"" - PROSTOR BR. 1";ŠKOLSKA 2;327;182;182;172;10;57;62;9;3;35;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;004;KUTINA;"O.Š. ""VLADIMIR VIDRIÆ"" - PROSTOR BR. 2";ŠKOLSKA 2;837;392;392;374;18;124;131;26;4;65;24
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;005;KUTINA;VATROGASNI DOM KUTINA;LJUDEVITA POSAVSKOG 27;509;202;202;189;13;70;60;19;1;31;8
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;006;KUTINA;"DJEÈJI VRTIÆ""MASLAÈAK""";ANDRIJE HEBRANGA 1;711;317;317;302;15;88;92;16;3;89;14
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;007;KUTINA;ŠUMARIJA;UL. ANTUNA GUSTAVA MATOŠA;866;413;413;389;24;141;123;23;4;84;14
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;008;KUTINA;"O.Š. ""STJEPAN KEFELJA"" - PROSTOR BR. 2";NIKOLE TESLE 1;667;283;283;273;10;73;97;19;3;69;12
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;009;KUTINA;"O.Š. ""STJEPAN KEFELJA"" - PROSTOR BR. 3";NIKOLE TESLE 1;707;293;293;278;15;91;103;19;2;50;13
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;010;KUTINA;"O.Š. ""MATE LOVRAK"" - PROSTOR BR. 1";CRKVENA 59;679;262;262;254;8;59;111;11;1;55;17
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;011;KUTINA;"O.Š. ""MATE LOVRAK"" - PROSTOR BR. 2";CRKVENA 59;432;199;199;188;11;53;73;10;4;40;8
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;012;KUTINA;TEHNIÈKA ŠKOLA KUTINA PROSTOR BR. 2;HRVATSKIH BRANITELJA 6;771;347;347;332;15;129;107;10;3;64;19
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;013;KUTINA;"O.Š. ""ZVONIMIR FRANK"" - PROSTOR BR. 1";SILVIJA STRAHIMIRA KRANJÈEVIÆA 2;931;344;344;327;17;82;124;20;5;85;11
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;014;KUTINA;"O.Š. ""ZVONIMIR FRANK"" - PROSTOR BR. 2";SILVIJA STRAHIMIRA KRANJÈEVIÆA 2;736;330;330;316;14;75;102;34;3;74;28
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;015;KUTINA;DOM RADNIÈKO NASELJE;HUSAINSKA 41;316;123;123;119;4;15;20;7;2;72;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;016;KUTINA;DOM;ULICA STJEPANA RADIÆA;1003;452;444;411;33;41;209;12;7;101;41
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;017;DOM REPUŠNICA;DOM REPUŠNICA;REPUŠNICA, LJUDEVITA GAJA 101;842;415;415;395;20;58;211;14;5;80;27
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;018;ŠKOLA REPUŠNICA;ŠKOLA REPUŠNICA;REPUŠNICA, LJUDEVITA GAJA 120;707;300;300;285;15;56;143;9;2;63;12
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;019;MEÐURIÆ;DOM MEÐURIÆ;MEÐURIÆ;386;216;216;211;5;83;98;2;3;17;8
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;020;JANJA LIPA;DOM JANJA LIPA;HRVATSKIH BRANITELJA 44;155;105;105;104;1;4;83;1;0;15;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;021;JAMARICE;DOM JAMARICE;JAMARICA;331;146;146;137;9;31;79;2;2;16;7
