Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, NARODNA STRANKA - REFORMISTI - REFORMISTI;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
05;VARAŽDINSKA ŽUPANIJA;općina;SVETI ĐURĐ;001;HRŽENICA - 1;DRUŠTVENI DOM;ULICA BRAĆE RADIĆ 54;277;133;133;130;3;19;100;11
05;VARAŽDINSKA ŽUPANIJA;općina;SVETI ĐURĐ;002;HRŽENICA - 2;PROSTORIJE NK RADNIČKI;LUDBREŠKA 30;411;170;170;168;2;17;145;6
05;VARAŽDINSKA ŽUPANIJA;općina;SVETI ĐURĐ;003;KOMARNICA LUDBREŠKA;DRUŠTVENI DOM;KOMARNICA LUDBREŠKA 61A;129;84;84;80;4;9;55;16
05;VARAŽDINSKA ŽUPANIJA;općina;SVETI ĐURĐ;004;SVETI ĐURĐ;DRUŠTVENI DOM;ULICA BRAĆE RADIĆ 32;513;243;243;236;7;33;193;10
05;VARAŽDINSKA ŽUPANIJA;općina;SVETI ĐURĐ;005;LUKA LUDBREŠKA;DRUŠTVENI DOM;LUKA LUDBREŠKA 74;185;76;76;75;1;3;64;8
05;VARAŽDINSKA ŽUPANIJA;općina;SVETI ĐURĐ;006;KARLOVEC LUDBREŠKI;DRUŠTVENI DOM;LUG 1;416;184;184;181;3;36;137;8
05;VARAŽDINSKA ŽUPANIJA;općina;SVETI ĐURĐ;007;PRILES;DRUŠTVENI DOM;PRILES 45B;187;132;132;129;3;12;112;5
05;VARAŽDINSKA ŽUPANIJA;općina;SVETI ĐURĐ;008;OBRANKOVEC;DRUŠTVENI DOM;OBRANKOVEC 1B;108;53;53;51;2;11;36;4
05;VARAŽDINSKA ŽUPANIJA;općina;SVETI ĐURĐ;009;SESVETE LUDBREŠKE;PROSTORIJE MJESNOG ODBORA;VINOGRADSKA ULICA 17;381;170;170;164;6;13;132;19
05;VARAŽDINSKA ŽUPANIJA;općina;SVETI ĐURĐ;010;STRUGA;DRUŠTVENI DOM;STRUGA 114;365;167;165;163;2;5;150;8
