Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SELJAÈKA STRANKA BRAÆE RADIÆ - HSS BRAÆE RADIÆ, BLOK UMIROVLJENICI ZAJEDNO - BUZ;HRVATSKA SELJAÈKA STRANKA - HSS, ZAGORSKA STRANKA - ZS;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  ROBERT MAÈEK;NARODNA STRANKA - REFORMISTI - REFORMISTI;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;001;LEPOGLAVA - 1;"UGOSTITELJSKI OBJEKT CAFFE BAR ""CIGLA""";ULICA HRVATSKIH PAVLINA 101;630;335;335;332;3;35;98;64;3;60;72
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;002;LEPOGLAVA - 2;"BIVŠA TRGOVINA ""RENOVA"" VL. TOME KOSTANJEVCA";ULICA HRVATSKIH PAVLINA 52;400;219;219;216;3;14;35;43;4;59;61
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;003;LEPOGLAVA - 3;"OSNOVNA ŠKOLA ""ANTE STARÈEVIÆ""";LEPOGLAVA;802;440;440;434;6;49;116;75;6;41;147
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;004;LEPOGLAVA - 4;VATROGASNI DOM;LEPOGLAVA;321;163;163;161;2;22;26;52;2;13;46
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;005;OÈURA;DRUŠTVENI DOM;OÈURA;397;208;208;205;3;22;70;66;6;9;32
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;006;PURGA;"UGOSTITELJSKI OBJEKT ""SPORT""";IVANA MAŽURANIÆA 2A;481;233;233;228;5;28;37;82;2;19;60
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;007;KAMENIÈKI VRHOVEC;"BIVŠI UGOST. OBJEKT ""ZELENA DOLINA""";KAMENIÈKI VRHOVEC;162;107;107;107;0;9;28;19;5;7;39
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;008;KAMENICA;"OSNOVNA ŠKOLA ""IVAN RANGER""";KAMENICA;120;76;76;72;4;8;36;2;19;1;6
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;009;CRKOVEC;KUÆA TOME ERDEC;CRKOVEC 16;135;64;64;63;1;4;17;5;3;15;19
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;010;VILETINEC;"BIVŠI UGOST. OBJEKT ""VIKTORIJA""";VILETINEC;135;38;38;38;0;8;13;4;2;2;9
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;011;VULIŠINEC;KUÆA MILICE KELEMENIÆ;VULIŠINEC 2;193;89;89;83;6;9;20;12;8;5;29
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;012;KAMENIÈKO PODGORJE - 1;PROSTORIJE NOVOG DRUŠTVENOG DOMA;KAMENIÈKO PODGORJE BB;201;109;109;104;5;37;39;1;5;12;10
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;013;KAMENIÈKO PODGORJE - 2;KUÆA KRISTIJANA GALIÆ;ŽAROVNICA 215;132;45;45;43;2;3;19;5;6;3;7
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;014;DONJA VIŠNJICA;"OSNOVNA ŠKOLA ""IZIDOR POLJAK""";VIŠNJICA;426;220;220;210;10;129;40;12;14;4;11
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;015;BEDNJICA;DRUŠTVENI DOM BEDNJICA;BEDNJICA;221;143;143;141;2;128;1;7;2;2;1
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;016;GORNJA VIŠNJICA;VATROGASNI DOM DONJA VIŠNJICA;GORNJA VIŠNJICA;373;175;175;169;6;123;16;8;7;3;12
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;017;ZLOGONJE;KUÆA ÈELIG JOSIPA;ZLOGONJE 140;357;158;158;155;3;108;9;22;7;2;7
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;018;ŽAROVNICA;PODRUÈNA ŠKOLA ŽAROVNICA;ŽAROVNICA;602;331;331;320;11;67;131;33;15;18;56
