Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;BLOK UMIROVLJENICI ZAJEDNO - BUZ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA UMIROVLJENIKA - HSU;KANDIDACIJSKA LISTA GRUPE BIRAÈA - STIPISLAV JADRIJEVIÆ;MOST;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;001;BIRAÈKO MJESTO 1. U SINJU;GALERIJA GALIOTOVIÆ;BRNAŠKA 44;926;480;480;462;18;10;92;12;98;217;33
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;002;BIRAÈKO MJESTO 2. U SINJU;GALERIJA GALIOTOVIÆ;BRNAŠKA 44;1676;850;850;827;23;11;257;36;154;293;76
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;003;BIRAÈKO MJESTO 3. U SINJU;"DJEÈJI VRTIÆ ""BILI CVITAK"" ŠTALIJA";KNEZA BRANIMIRA 2;852;462;462;449;13;10;104;19;96;168;52
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;004;BIRAÈKO MJESTO 4. U SINJU;"DJEÈJI VRTIÆ ""BILI CVITAK"" ŠTALIJA";KNEZA BRANIMIRA 2;1601;793;793;772;21;9;203;36;187;269;68
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;005;BIRAÈKO MJESTO 5. U SINJU;"OŠ ""MARKA MARULIÆA""";VLADIMIRA NAZORA 33;1856;986;985;971;14;13;186;22;181;462;107
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;006;BIRAÈKO MJESTO 6. U SINJU;DOM MLADIH SINJ;LIVANJSKA BB;1208;629;628;616;12;11;127;6;150;265;57
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;007;BIRAÈKO MJESTO 7. U SINJU;DOM MLADIH SINJ;LIVANJSKA BB;1533;765;765;749;16;8;193;6;155;328;59
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;008;BIRAÈKO MJESTO 8. U BRNAZAMA;"DJEÈJI VRTIÆ ""ALKARIÆ""";BRNAZE;965;548;548;532;16;6;188;16;99;201;22
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;009;BIRAÈKO MJESTO 9. U BRNAZAMA;OŠ BRNAZE;BRNAZE;1779;947;947;918;29;12;403;37;152;276;38
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;010;BIRAÈKO MJESTO 10. U TURJACIMA;OŠ TURJACI;TURJACI;963;486;486;477;9;8;177;11;71;207;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;011;BIRAÈKO MJESTO 11. U GLAVICAMA DONJIM;OŠ U GLAVICAMA;GLAVICE DONJE;1732;902;902;889;13;7;187;10;339;285;61
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;012;BIRAÈKO MJESTO 12. GLAVICE GORNJE;OŠ U GLAVICAMA, GLAVICE DONJE;OŠ U GLAVICAMA, GLAVICE DONJE;1471;816;816;790;26;6;176;8;253;316;31
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;013;BIRAÈKO MJESTO 13. U HANU;OŠ U HANU;HAN;722;342;342;332;10;5;94;4;75;144;10
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;014;BIRAÈKO MJESTO 14. U BAJAGIÆU;OŠ BAJAGIÆ;BAJAGIÆ;492;215;215;209;6;2;90;1;41;70;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;015;BIRAÈKO MJESTO 15. U GLJEVU;OŠ U GLJEVU;GLJEV;280;128;128;124;4;0;59;0;18;45;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;016;BIRAÈKO MJESTO 16. U RADOŠIÆU;OŠ U RADOŠIÆU;RADOŠIÆ;563;340;339;332;7;5;83;3;106;124;11
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;017;BIRAÈKO MJESTO 17. U SUHAÈU;"PODUZEÆE ""CIGLANE"" U SLANICI";SLANICA;489;345;345;329;16;1;28;2;13;278;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;018;BIRAÈKO MJESTO 18. U LUÈANIMA;OŠ U LUÈANIMA;LUÈANI;538;330;329;327;2;6;45;8;71;188;9
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;019;BIRAÈKO MJESTO 19. U KARAKAŠICI;OŠ U KARAKAŠICI;KARAKAŠICA;595;363;363;359;4;6;111;6;45;183;8
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;020;BIRAÈKO MJESTO 20. U JASENSKOM;KUÆA MARIJE ŠUŠNJARE;JASENSKO 55 A;293;138;138;136;2;2;47;3;26;58;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;021;BIRAÈKO MJESTO 21. U ÈITLUKU;OŠ U ÈITLUKU;ÈITLUK;419;275;275;275;0;3;99;4;81;82;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;022;BIRAÈKO MJESTO 22. U ZELOVU;"U PROSTORIJAMA BIVŠEG PODUZEÆA ""KONKURENT"" (BIVŠA PRODAVAONICA)";ZELOVO;144;68;68;67;1;0;21;0;9;35;2
