Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DAMIR BAJS NEZAVISNA LISTA - DAMIR BAJS NL, GRAÐANSKO-LIBERALNI SAVEZ - GLAS, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA SELJAÈKA STRANKA BRAÆE RADIÆ - HSS BRAÆE RADIÆ, DEMOKRATI, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, NEZAVISNI SELJACI HRVATSKE - NSH, STRANKA UMIROVLJENIKA - SU, BLOK UMIROVLJENICI ZAJEDNO - BUZ, NARODNA STRANKA - REFORMISTI - REFORMISTI;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  DINKO PIRAK;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;001;ÈAZMA;DOM KULTURE;TRG ÈAZMANSKOG KAPTOLA 13;594;268;268;263;5;33;14;19;15;126;56
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;002;ÈAZMA;VIJEÆNICA;KRALJA TOMISLAVA 1;352;188;188;184;4;39;10;15;5;68;47
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;003;DEREZA;DOM DEREZA;DEREZA 30A;179;68;68;68;0;14;11;6;2;22;13
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;004;BOSILJEVO;DOM BOSILJEVO;BOSILJEVO 18;297;112;112;110;2;30;7;7;9;40;17
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;005;ÈAZMA;ZGRADA ŠUMARIJE;M. NOVAÈIÆA 48;626;312;312;307;5;52;14;49;10;115;67
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;006;ÈAZMA;DOM UMIROVLJENIKA;KRALJA TOMISLAVA 10A;625;277;277;272;5;50;18;40;19;97;48
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;007;SUHAJA;DOM SUHAJA;SUHAJA 95;164;49;49;49;0;5;2;1;3;34;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;008;MILAŠEVAC;DOM MILAŠEVAC;MILAŠEVAC 49A;123;47;47;46;1;7;1;2;0;23;13
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;009;CERINA;DOM CERINA;CERINA 14;88;42;42;42;0;4;2;0;1;21;14
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;010;GRABIK;KUÆA ÐURE KAPELCA;GRABIK 30;42;32;32;31;1;1;9;13;0;8;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;011;GORNJI LIPOVÈANI;DOM DVD GORNJI LIPOVÈANI;GORNJI LIPOVÈANI 30;128;55;55;54;1;4;9;6;5;19;11
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;012;GORNJI DRAGIÈEVCI;KUÆA IVANKE FERENÈAK;GORNJI DRAGIÈEVCI 31;74;29;29;29;0;4;2;3;0;9;11
