Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DAMIR BAJS NEZAVISNA LISTA - DAMIR BAJS NL, HRVATSKA STRANKA UMIROVLJENIKA - HSU, STRANKA UMIROVLJENIKA - SU, BLOK UMIROVLJENICI ZAJEDNO - BUZ, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, DEMOKRATI, NARODNA STRANKA - REFORMISTI - REFORMISTI, NEZAVISNI SELJACI HRVATSKE - NSH, GRAÐANSKO-LIBERALNI SAVEZ - GLAS, HRVATSKA SELJAÈKA STRANKA BRAÆE RADIÆ - HSS BRAÆE RADIÆ;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SELJAÈKA STRANKA - HSS;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;VELIKO TROJSTVO;001;MARTINAC;DRUŠTVENI DOM;MARTINAC 33;102;56;56;50;6;15;4;8;19;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;VELIKO TROJSTVO;002;MAGLENÈA;DRUŠTVENI DOM;MAGLENÈA 17;260;108;108;108;0;20;17;17;25;29
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;VELIKO TROJSTVO;003;KEGLJEVAC;DRUŠTVENI DOM;KEGLJEVAC 24;41;25;25;24;1;4;4;3;5;8
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;VELIKO TROJSTVO;004;VRBICA;DRUŠTVENI DOM;VRBICA 60;88;45;45;45;0;6;4;4;13;18
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;VELIKO TROJSTVO;005;PAULOVAC;KONTEJNER;PAULOVAC;79;43;43;43;0;8;3;5;2;25
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;VELIKO TROJSTVO;006;ÆURLOVAC;DRUŠTVENI DOM;ÆURLOVAC 101;218;142;142;135;7;38;11;11;50;25
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;VELIKO TROJSTVO;007;DOMINKOVICA;DRUŠTVENI DOM;DOMINKOVICA 37;40;26;26;25;1;6;5;2;8;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;VELIKO TROJSTVO;008;GRGINAC;DRUŠTVENI DOM;GRGINAC 60;177;91;91;89;2;23;11;5;25;25
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;VELIKO TROJSTVO;009;MALO TROJSTVO;DRUŠTVENI DOM;MALO TROJSTVO 73;127;79;79;75;4;16;2;11;16;30
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;VELIKO TROJSTVO;010;VIŠNJEVAC;DRUŠTVENI DOM;VIŠNJEVAC 52;88;53;53;52;1;8;4;6;24;10
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;VELIKO TROJSTVO;011;VELIKO TROJSTVO;ZGRADA OPÆINE-MALA DVORANA;BRAÆE RADIÆ 28;999;511;511;496;15;77;31;51;106;231
