Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;FRANJO HORVAT;STJEPAN KRKLEC;MONIKA POSLONÈEC;VALENTINA PRESEÈKI;DRAGUTIN ŠANJUG
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;PETROVSKO;001;PETROVSKO I ROVNO;OSNOVNA ŠKOLA ANTUNA MIHANOVIÆA (UÈIONICA BR. 1);PETROVSKO 58 A;265;180;180;175;5;12;96;37;12;18
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;PETROVSKO;002;BENKOVEC PETROVSKI;OSNOVNA ŠKOLA ANTUNA MIHANOVIÆA, UÈIONICA BR. 2;PETROVSKO 58 A;100;64;64;63;1;7;25;17;3;11
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;PETROVSKO;003;STARA VES PETROVSKA I MALA PAÈETINA;GARAŽA KOZINA KRISTIJANA;STARA VES PETROVSKA 43A;205;127;127;124;3;12;83;4;17;8
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;PETROVSKO;004;PODGAJ PETROVSKI;KUÆA POSLONÈEC STJEPANA;PODGAJ PETROVSKI 37;209;154;154;151;3;6;55;46;25;19
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;PETROVSKO;005;BREZOVICA PETROVSKA;KUÆA LELJAK RUDOLFA;BREZOVICA PETROVSKA 9;85;56;56;55;1;3;21;19;10;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;PETROVSKO;006;PRESEKA PETROVSKA;KUÆA PRESEÈKI EDUARDA;PRESEKA PETROVSKA 22;216;159;159;157;2;7;44;37;20;49
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;PETROVSKO;007;ŠTUPARJE;KUÆA POSLON-FABRIÈNI LJUBICE;ŠTUPARJE 38;319;230;230;229;1;5;149;35;27;13
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;PETROVSKO;008;SVEDRUŽA DONJA;PODRUÈNA ŠKOLA U SLATINI (SJEVERNA UÈ.);SLATINA SVEDRUŠKA 38;116;78;78;77;1;9;49;4;10;5
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;PETROVSKO;009;SLATINA SVEDRUŠKA (DIO);KUÆA ORMUŽ BRANKA;SLATINA SVEDRUŠKA 5;193;112;112;110;2;32;48;13;8;9
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;PETROVSKO;010;SLATINA SVEDRUŠKA (DIO) I SVEDRUŽA GORNJA;PODRUÈNA ŠKOLA U SLATINI (JUŽNA UÈIONICA);SLATINA SVEDRUŠKA 38;261;160;160;158;2;6;66;52;29;5
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;PETROVSKO;011;GREDENEC;GARAŽA HRŠAK JOSIPA;GREDENEC 28;71;58;58;57;1;5;14;4;33;1
