Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KANDIDACIJSKA LISTA GRUPE BIRAČA -  JANKO BUZJAK;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, STRANKA UMIROVLJENIKA - SU;HRVATSKA SELJAČKA STRANKA - HSS;KANDIDACIJSKA LISTA GRUPE BIRAČA -  MARKO OCVIREK;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA STRANKA UMIROVLJENIKA - HSU;ZAGORSKA DEMOKRATSKA STRANKA - ZDS
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;001;POZNANOVEC;VATROGASNI DOM U POZNANOVCU;POZNANOVEC, ZAGORSKE BRIGADE 34;763;432;432;426;6;11;46;1;224;130;14
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;002;LUG POZNANOVEČKI;PROSTORIJE MJESNOG ODBORA;POZNANOVEC, ZAGORSKE BRIGADE 20 A;539;261;261;256;5;3;63;0;99;64;27
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;003;KRIŽANČE;DRUŠTVENI DOM;KRIŽANČE 20B;112;55;55;55;0;12;17;5;3;16;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;004;ŽIDOVINJAK;DRUŠTVENI DOM;ŽIDOVINJAK 9;141;78;78;78;0;4;29;11;9;24;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;005;BEDEKOVČINA;STARA ŠKOLA KOD GRGIĆA;BEDEKOVČINA, STJEPANA RADIĆA 78;556;289;289;282;7;18;81;33;44;78;28
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;006;BEDEKOVČINA;VATROGASNI DOM BEDEKOVČINA;STJEPANA RADIĆA 76A;751;460;460;451;9;22;241;9;30;112;37
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;007;BEDEKOVČINA;ZGRADA OPĆINE (DVORANA);BEDEKOVČINA, TRG A. STARČEVIĆA 4;921;485;485;474;11;38;130;4;55;210;37
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;008;BEDEKOVČINA;PROSTORIJA UDRUGE UMIROVLJENIKA;BEDEKOVČINA, TRG A. STARČEVIĆA 15;556;302;302;294;8;10;100;7;49;96;32
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;009;KEBEL;VATROGASNI DOM;KEBEL 57 C;322;117;117;111;6;4;19;1;26;58;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;010;OREHOVICA;PODRUČNA ŠKOLA OREHOVICA;OREHOVICA 24;308;125;125;121;4;9;58;2;31;16;5
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;011;BRESTOVEC OREHOVEČKI;STARA ŠKOLA BRESTOVEC OREHOVIČKI;BRESTOVEC OREHOVIČKI 19;876;355;355;339;16;9;112;4;52;148;14
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;012;GRABE;DRUŠTVENI DOM GRABE;GRABE 118B;271;107;107;100;7;1;25;1;13;55;5
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;013;MARTINEC OREHOVIČKI;DRUŠTVENI DOM;MARTINEC OREHOVIČKI 19A;405;223;223;215;8;7;109;2;21;72;4
