Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MARIJA BISTRICA;001;MARIJA BISTRICA;DOM KULTURE;ZAGREBAÈKA BB;911;464;464;447;17;20;304;55;68
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MARIJA BISTRICA;002;MARIJA BISTRICA II;"TERMOLAKIRNICA ""ŠTAGAR""";STUBIÈKA CESTA 20;400;170;170;164;6;13;82;38;31
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MARIJA BISTRICA;003;PODGORJE BISTRIÈKO;"OSNOVNA ŠKOLA ""M.BISTRICA""";ZAGREBAÈKA 15;780;287;287;277;10;7;162;62;46
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MARIJA BISTRICA;004;LAZ BISTRIÈKI;VATROGASNI DOM DVD-A LAZ;LAZ BISTRIÈKI;841;246;246;239;7;22;136;57;24
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MARIJA BISTRICA;005;GLOBOÈEC;PODRUÈNA ŠKOLA GLOBOÈEC;GLOBOÈEC;434;172;172;170;2;8;107;22;33
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MARIJA BISTRICA;006;POLJANICA BISTRIÈKA;PODRUÈNA ŠKOLA;POLJANICA BISTRIÈKA;306;88;88;83;5;3;44;19;17
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MARIJA BISTRICA;007;SUŠOBREG;KUÆA VRABEC MILORADA;SUŠOBREG BISTRIÈKI 120B;68;24;24;23;1;0;17;2;4
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MARIJA BISTRICA;008;SELNICA;VATROGASNI DOM;SELNICA;516;195;195;188;7;16;51;96;25
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MARIJA BISTRICA;009;TUGONICA;VATROGASNI DOM;TUGONICA;483;152;152;148;4;8;85;30;25
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MARIJA BISTRICA;010;PODGRAÐE;DRUŠTVENI DOM;PODGRAÐE;276;112;112;108;4;5;64;11;28
