Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;FRANJO BARIÆ;GORDANA JUREKOVIÆ;ZVONKO OÈIÆ;BOŽO RUŽAK
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRAPINSKE TOPLICE;001;ÈRET;VATROGASNI DOM;ÈRET 30;606;313;313;307;6;19;83;34;171
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRAPINSKE TOPLICE;002;GREGUROVEC;PODRUÈNA ŠKOLA;GREGUROVEC 12;295;183;183;180;3;4;79;90;7
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRAPINSKE TOPLICE;003;KRAPINSKE TOPLICE;DOM KULTURE;K.Š.ÐALSKOG 1;169;67;67;65;2;12;32;12;9
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRAPINSKE TOPLICE;004;JURJEVEC;DRUŠTVENI DOM;JURJEVEC;286;172;172;167;5;9;85;52;21
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRAPINSKE TOPLICE;005;KLOKOVEC;KUÆA GUDIÆ ANE MARI;KLOKOVEC 212;742;383;383;373;10;67;213;62;31
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRAPINSKE TOPLICE;006;KRAPINSKE TOPLICE I;DOM KULTURE;K.Š.ÐALSKOG 1;463;258;258;250;8;71;103;56;20
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRAPINSKE TOPLICE;007;KRAPINSKE TOPLICE II;OSNOVNA ŠKOLA;ZAGREBAÈKA 12;803;435;435;429;6;77;220;101;31
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRAPINSKE TOPLICE;008;MALA ERPENJA I;VATROGASNI DOM;MALA ERPENJA 249;210;89;89;87;2;7;60;8;12
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRAPINSKE TOPLICE;009;MALA ERPENJA II;DRUŠTVENI DOM;MALA ERPENJA BB;262;128;128;126;2;28;79;18;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRAPINSKE TOPLICE;010;SELNO;DRUŠTVENI DOM;SELNO BB;309;159;159;155;4;36;78;24;17
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRAPINSKE TOPLICE;011;VRTNJAKOVEC;DRUŠTVENI DOM;VRTNJAKOVEC 33A;391;203;203;200;3;30;100;61;9
