Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AUTOHTONA - HRVATSKA STRANKA PRAVA - A - HSP, HRVATSKA SELJAÈKA STRANKA - STJEPAN RADIÆ - HSS - SR;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  MARIJAN CEPETIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;VIRJE;001;VIRJE;VJERONAUÈNA DVORANA;ULICA LJUDEVITA GAJA 11, VIRJE;438;203;203;194;9;9;73;76;36
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;VIRJE;002;VIRJE;NOVI DRUŠTVENI DOM VIRJE, VELIKA DVORANA;TRG DR. FRANJE TUÐMANA BB, VIRJE;448;169;169;165;4;12;75;59;19
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;VIRJE;003;VIRJE;VATROGASNI DOM;ULICA FRANA LUGARIÆA 13, VIRJE;351;149;149;146;3;13;65;59;9
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;VIRJE;004;VIRJE;GALERIJA TIŠLJAR;ÐURE SUDETE 12, VIRJE;634;266;266;260;6;21;127;78;34
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;VIRJE;005;VIRJE;BIVŠA ZGRADA OPÆINE VIRJE;TRG STJEPANA RADIÆA 7, VIRJE;686;297;297;284;13;18;126;113;27
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;VIRJE;006;MIHOLJANEC;DRUŠTVENI DOM MIHOLJANEC;ULICA ANTUNA MIHANOVIÆA;231;93;93;90;3;5;26;41;18
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;VIRJE;007;ŠEMOVCI;ZGRADA MJESNOG ODBORA ŠEMOVCI;ULICA STJEPANA RADIÆA;405;199;199;193;6;14;18;150;11
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;VIRJE;008;HAMPOVICA;VATROGASNI DOM HAMPOVICA;ULICA ŠIMUNA PANDURA, HAMPOVICA;183;61;61;58;3;6;17;27;8
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;VIRJE;009;RAKITNICA;VATROGASNI DOM RAKITNICA;RAKITNICA;91;49;49;48;1;2;4;12;30
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;VIRJE;010;DONJE ZDJELICE;VATROGASNI DOM DONJE ZDJELICE;DONJE ZDJELICE;64;26;26;26;0;0;2;22;2
