Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;MREŽA NEZAVISNIH LISTA - MREŽA;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;001;HIŽANOVEC;PODRUÈNA ŠKOLA HIŽANOVEC;HIŽANOVEC 18;273;150;150;143;7;48;13;82
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;002;VINAREC;DRUŠTVENI DOM U NASELJU VINAREC;VINAREC 101;132;93;93;90;3;22;41;27
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;003;SVETI  PETAR  OREHOVEC;OSNOVNA ŠKOLA SVETI PETAR OREHOVEC;SVETI PETAR OREHOVEC 90;479;277;277;267;10;86;21;160
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;004;MEÐA;DRUŠTVENI DOM U NASELJU MEÐA;MEÐA 82;145;74;74;73;1;29;13;31
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;005;ZAISTOVEC;VATROGASNI  DOM U NASELJU  ZAISTOVEC;BREGI 66;206;110;110;108;2;82;13;13
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;006;GORNJI  FODROVEC;PODRUÈNA ŠKOLA FODROVEC;GORNJI FODROVEC 26;273;140;140;139;1;100;7;32
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;007;MOKRICE MIHOLEÈKE;DRUŠTVENI  DOM MOKRICE MIHOLEÈKE;MOKRICE MIHOLEÈKE 34;283;199;199;197;2;189;4;4
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;008;MIHOLEC;VATROGASNI DOM MIHOLEC;MIHOLEC 50;430;200;200;197;3;138;22;37
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;009;GREGUROVEC;PODRUÈNA ŠKOLA GREGUROVEC;GREGUROVEC 65;263;133;133;132;1;58;36;38
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;010;KAPELA  RAVENSKA;VATROGASNI DOM U NASELJU KAPELA RAVENSKA;KAPELA RAVENSKA 33;116;60;60;58;2;23;22;13
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;011;DEDINA;DRUŠTVENI DOM U NASELJU DEDINA;BLAGAJI 3;162;75;75;74;1;31;2;41
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;012;BOÈKOVEC;DRUŠTVENI DOM U NASELJU BOÈKOVEC;BOÈKOVEC 60;338;151;151;148;3;38;10;100
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;013;SELANEC;DOM DRUŠTVA SPORTSKE REKREACIJE SELANEC;SELANEC 90;199;100;100;100;0;26;4;70
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;SVETI PETAR OREHOVEC;014;GUŠÈEROVEC;VATROGASNI  DOM U NASELJU GUŠÈEROVEC;GUŠÈEROVEC 23;204;67;67;67;0;32;6;29
