Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;TOMISLAV BULIÆ;BORNA NIMAC;GORAN NIMAC;FRANE TOKIÆ
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;001;BENKOVAC 1;OSNOVNA ŠKOLA BENKOVAC;BENKOVAC;1390;530;530;518;12;218;44;91;165
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;002;BENKOVAC 2;OSNOVNA ŠKOLA BENKOVAC;BENKOVAC;1476;543;542;531;11;197;63;85;186
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;003;BENKOVAÈKO SELO;OSNOVNA ŠKOLA BENKOVAC;BENKOVAC;811;275;275;269;6;170;33;25;41
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;004;ŠOPOT;"OBJEKT ""KONOBA"" VL. MARIJAN ROGIÆ ZV.  ""MAÆO""";ŠOPOT;336;154;154;145;9;63;12;17;53
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;005;PODLUG;PODRUÈNA ŠKOLA;PODLUG;169;65;65;64;1;38;4;5;17
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;006;PERUŠIÆ BENKOVAÈKI;PODRUÈNA ŠKOLA;PERUŠIÆ BENKOVAÈKI;262;133;133;129;4;59;8;2;60
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;007;PRISTEG;PODRUÈNA ŠKOLA;PRISTEG;489;149;149;146;3;69;11;14;52
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;008;DOBRA VODA;ZGRADA PODRUÈNE ŠKOLE;DOBRA VODA;78;34;34;30;4;13;4;1;12
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;009;RADOŠINOVCI;PODRUÈNA ŠKOLA;RADOŠINOVCI;195;107;107;105;2;50;31;4;20
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;010;VUKŠIÆ;PODRUÈNA ŠKOLA;VUKŠIÆ;602;302;302;291;11;117;71;13;90
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;011;BULIÆ;PODRUÈNA ŠKOLA;BULIÆ;130;75;75;73;2;34;28;1;10
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;012;LEPURI;ZGRADA ŽELJEZNIÈKE POSTAJE;LEPURI;297;89;89;88;1;36;9;17;26
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;013;PODGRAÐE;DRUŠTVENI DOM;PODGRAÐE;88;51;51;51;0;33;9;1;8
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;014;LISIÈIÆ;PODRUÈNA ŠKOLA;LISIÈIÆ;240;145;145;142;3;75;14;2;51
