Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DEMOKRATI;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA UMIROVLJENIKA - HSU;ISTARSKI DEMOKRATSKI SABOR - IDS, ISTARSKA STRANKA UMIROVLJENIKA - PARTITO ISTRIANO DEI PENSIONATI - ISU - PIP;KANDIDACIJSKA LISTA GRUPE BIRAČA -  ŠIME MARTINOVIĆ;KANDIDACIJSKA LISTA GRUPE BIRAČA -  NEVINA MIŠKULIN;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;KANDIDACIJSKA LISTA GRUPE BIRAČA -  SILVANO VLAČIĆ
18;ISTARSKA ŽUPANIJA;grad;LABIN;001;RABAC;"DJEČJI VRTIĆ ""PJERINA VERBANAC""";JADRANSKA BB, RABAC;524;218;218;216;2;7;18;5;105;4;36;22;19
18;ISTARSKA ŽUPANIJA;grad;LABIN;002;RABAC;"DJEČJI VRTIĆ ""PJERINA VERBANAC""";JADRANSKA  BB RABAC;773;310;310;303;7;30;25;12;141;4;44;28;19
18;ISTARSKA ŽUPANIJA;grad;LABIN;003;RIPENDA;"LOVAČKI DOM ""KAMENJARKA""";RIPENDA;215;90;90;88;2;9;4;3;47;4;3;14;4
18;ISTARSKA ŽUPANIJA;grad;LABIN;004;KAPELICA;DRUŠTVENE PROSTORIJE;KAPELICA BR. 57, LABIN;869;356;356;350;6;29;31;14;186;5;8;34;43
18;ISTARSKA ŽUPANIJA;grad;LABIN;005;ROGOČANA;"PROSTORIJE UDRUGE ZA MLADE ""ALFA ALBONA""/BIVŠI KLUB UMIROVLJENIKA/";KALIĆ 2, LABIN;185;97;97;96;1;7;5;3;61;3;2;3;12
18;ISTARSKA ŽUPANIJA;grad;LABIN;006;LABIN - STARI GRAD;PROSTORIJE ZAJEDNICE TALIJANA LABIN;J. RAKOVCA 4, LABIN;1119;443;443;438;5;50;21;16;211;10;7;47;76
18;ISTARSKA ŽUPANIJA;grad;LABIN;007;LABIN;"ŠKOLA ""LIČE FARAGUNA"" 1";LABIN;477;186;185;184;1;19;9;13;96;6;7;17;17
18;ISTARSKA ŽUPANIJA;grad;LABIN;008;LABIN;"ŠKOLA ""LIČE FARAGUNA"" 2";LABIN;416;162;162;157;5;23;21;7;69;5;5;14;13
18;ISTARSKA ŽUPANIJA;grad;LABIN;009;LABIN;"OSNOVNA ŠKOLA ""IVO LOLA RIBAR""";TRG LABINSKIH RUDARA BB, LABIN;652;231;231;225;6;25;27;13;100;6;7;33;14
18;ISTARSKA ŽUPANIJA;grad;LABIN;010;LABIN;PROSTORIJE MJESNOG ODBORA;TRG LABINSKIH RUDARA BB, LABIN;880;294;294;285;9;31;26;15;141;8;4;34;26
18;ISTARSKA ŽUPANIJA;grad;LABIN;011;LABIN - KATURE;"DJEČJI VRTIĆ ""PJERINA VERBANAC"" 1";LABIN;487;175;175;174;1;30;12;6;77;5;6;25;13
18;ISTARSKA ŽUPANIJA;grad;LABIN;012;LABIN - KATURE;"DJEČJI VRTIĆ ""PJERINA VERBANAC"" 2";LABIN;951;352;352;342;10;34;21;10;153;23;15;43;43
18;ISTARSKA ŽUPANIJA;grad;LABIN;013;LABIN - KATURE;PROSTORIJE KLUBA UMIROVLJENIKA;ISTARSKA 13, LABIN;699;320;320;315;5;41;30;15;145;17;5;26;36
18;ISTARSKA ŽUPANIJA;grad;LABIN;014;LABIN - VINEŽ;DOM KULTURE VINEŽ LABIN;LABIN;1112;445;445;434;11;54;22;18;226;47;6;31;30
18;ISTARSKA ŽUPANIJA;grad;LABIN;015;LABIN - STARCI;PROSTORIJE HEP-A;LABIN,PULSKA 1;554;257;257;251;6;38;17;9;133;5;7;21;21
18;ISTARSKA ŽUPANIJA;grad;LABIN;016;LABIN - VINEŽ;"PODRUČNA OŠ ""IVO LOLA RIBAR""";VINEŽ;177;79;79;79;0;5;7;2;48;4;0;4;9
