Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;MIJO DROPULJIÆ;KRISTINA JERÈIÆ
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;PODSTRANA;001;STROŽANAC;OSNOVNA ŠKOLA STROŽANAC;BLATO 1;981;364;364;355;9;159;196
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;PODSTRANA;002;STROŽANAC;OSNOVNA ŠKOLA STROŽANAC;BLATO 1;892;332;332;328;4;160;168
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;PODSTRANA;003;STROŽANAC;OSNOVNA ŠKOLA STROŽANAC;BLATO 1;836;219;219;213;6;102;111
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;PODSTRANA;004;STROŽANAC;OSNOVNA ŠKOLA STROŽANAC;BLATO 1;659;299;299;296;3;161;135
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;PODSTRANA;005;STROŽANAC;OSNOVNA ŠKOLA STROŽANAC;BLATO 1;710;259;259;257;2;114;143
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;PODSTRANA;006;STROŽANAC;OSNOVNA ŠKOLA STROŽANAC;BLATO 1;746;298;298;292;6;150;142
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;PODSTRANA;007;PODSTRANA - GRLJEVAC;ZGRADA OPÆINE;TRG FRANJE  TUÐMANA 3;860;344;343;338;5;241;97
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;PODSTRANA;008;PODSTRANA-GRLJEVAC;ZGRADA OPÆINE;TRG FRANJE TUÐMANA 3;733;306;306;304;2;207;97
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;PODSTRANA;009;PODSTRANA-GRLJEVAC;ZGRADA OPÆINE;TRG FRANJE TUÐMANA 3;788;282;282;278;4;168;110
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;PODSTRANA;010;PODSTRANA;ZGRADA OPÆINE;TRG FRANJE TUÐMANA 3;714;299;299;290;9;163;127
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;PODSTRANA;011;PODSTRANA;ZGRADA OPÆINE;TRG FRANJE TUÐMANA 3;705;294;294;290;4;154;136
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;PODSTRANA;012;PODSTRANA;ZGRADA OPÆINE;TRG FRANJE TUÐMANA 3;695;270;270;263;7;135;128
