Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;LIDIJA BOŠNJAK;BISERKA VRANIÆ
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;001;BIRAÈKO MJESTO BR. 1 KURILOVAC;GRADSKA VIJEÆNICA;KURILOVAC 1;830;463;462;447;15;196;251
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;002;BIRAÈKO MJESTO BR. 2 ZAJAÈKO SELO;VATROGASNI DOM;ZAJAÈKO SELO;331;193;193;188;5;114;74
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;003;BIRAÈKO MJESTO BR. 3 OZALJ GRAD;OZALJ GRAD;ZRINSKIH I FRANKOPANA 15;264;140;140;140;0;59;81
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;004;BIRAÈKO MJESTO BR. 4 MALI ERJAVEC;MO MALI ERJAVEC;MALI ERJAVEC;394;176;176;174;2;88;86
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;005;BIRAÈKO MJESTO BR. 5 GRDUN;MO GRDUN;GRDUN;108;52;52;51;1;33;18
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;006;BIRAÈKO MJESTO BR. 6 TOMAŠNICA;KUÆA STJEPANA DUMEŠIÆA;TOMAŠNICA 19;119;60;60;60;0;18;42
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;007;BIRAÈKO MJESTO BR. 7 JAŠKOVO;MO JAŠKOVO;JAŠKOVO;374;170;170;167;3;91;76
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;008;BIRAÈKO MJESTO BR. 8 NOVAKI OZALJSKI;VATROGASNI DOM DVORIŠÆE;OZALJSKI NOVAKI;141;63;63;63;0;25;38
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;009;BIRAÈKO MJESTO BR. 9 FRATROVCI;KUÆA JOSIPA MRLJAKA;FRATROVCI  21;34;21;21;21;0;8;13
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;010;BIRAÈKO MJESTO BR. 10 SVETIÈKO HRAŠÆE;LOVAÈKI DOM;SVETIÈKO HRAŠÆE;121;49;49;49;0;27;22
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;011;BIRAÈKO MJESTO BR. 11 POLICE;ŠKOLA POLICE;POLICE;199;77;77;76;1;23;53
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;012;BIRAÈKO MJESTO BR. 12 VIVODINA;MO VIVODINA;VIVODINA;322;169;169;168;1;133;35
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;013;BIRAÈKO MJESTO BR. 13 OBREŽ VIVODINSKI;VATROGASNI DOM;OBREŽ VIVODINSKI;155;82;82;82;0;34;48
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;014;BIRAÈKO MJESTO BR. 14 DOJUTROVICA;VATROGASNI DOM;DOJUTROVICA;51;28;28;28;0;10;18
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;015;BIRAÈKO MJESTO BR. 15 STOJAVNICE;KUÆA JANKA KOSTELCA;SRŠIÆI 6;44;18;18;18;0;12;6
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;016;BIRAÈKO MJESTO BR. 16 PODBREŽJE;ŠKOLA PODBREŽJE;PODBREŽJE;252;120;120;118;2;64;54
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;017;BIRAÈKO MJESTO BR. 17 LOVIÆ PREKRIŠKI;VATROGASNI DOM;LOVIÆ PREKRIŠKI;58;27;27;27;0;16;11
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;018;BIRAÈKO MJESTO BR. 18 VRHOVAC;VATROGASNI DOM;VRHOVAC;429;210;210;207;3;87;120
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;019;BIRAÈKO MJESTO BR. 19 TRG;ŠKOLA TRG;TRG;176;72;72;69;3;37;32
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;020;BIRAÈKO MJESTO BR. 20 POLJE OZALJSKO;DOM ŠLJUNÈARA;POLJE OZALJSKO;241;105;105;104;1;67;37
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;021;BIRAÈKO MJESTO BR. 21 ZORKOVAC;ŠKOLA ZORKOVAC;ZORKOVAC;174;88;88;86;2;66;20
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;022;BIRAÈKO MJESTO BR. 22 ZORKOVAC NA KUPI;KUÆA BRANKA KOSMAÈA;ZORKOVAC NA KUPI 18;91;61;61;60;1;52;8
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;023;BIRAÈKO MJESTO BR. 23 LEVKUŠJE;VATROGASNI DOM;LEVKUŠJE;155;81;81;80;1;51;29
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;024;BIRAÈKO MJESTO BR. 24 GORNJE POKUPJE;KUÆA VESNE SEVERINSKI;GORNJE POKUPJE 30;139;55;55;54;1;34;20
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;025;BIRÈKO MJESTO BROJ 25 RADATOVIÆI;VATROGASNI DOM;RADATOVIÆI;158;45;45;45;0;3;42
04;KARLOVAÈKA ŽUPANIJA;grad;OZALJ;026;BIRAÈKO MJESTO BROJ 26 KAŠT;VATROGASNI DOM;KAŠT;97;44;44;44;0;17;27
