Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;GRGA DRAGIÈEVIÆ;IVICA KOZARIÆ
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;001;LETINA GORNJA;DVD DOM;LETINA GORNJA 38A;76;45;45;45;0;27;18
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;002;GREDA SUNJSKA;"DOM ""SELJAÈKE SLOGE""";GREDA SUNJSKA 99;357;217;217;210;7;115;95
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;003;SUNJA1;RIBIÈKI DOM;TRG KRALJA TOMISLAVA 5B, SUNJA;651;360;359;346;13;228;118
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;004;SUNJA2;DRUŠTVENI DOM;TRG KRALJA TOMISLAVA 5A, SUNJA;594;348;348;340;8;208;132
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;005;KRIVAJ SUNJSKI;DRUŠTVENI DOM;KRIVAJ SUNJSKI 30;88;69;69;69;0;46;23
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;006;ŽREME;PRIVATNA KUÆA IVICE KOŠKOVIÆA;ŽREME 28;44;31;31;31;0;16;15
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;007;SELIŠÆE SUNJSKO;DOM DVD-A;SELIŠÆE SUNJSKO 45;92;49;49;47;2;26;21
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;008;BOBOVAC;DRUŠTVENI DOM;BOBOVAC 162;258;136;136;135;1;43;92
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;009;CRKVENI BOK;DRUŠTVENI DOM;CRKVENI BOK 126A;249;100;100;95;5;64;31
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;010;ŠAŠ;DRUŠTVENI DOM;ŠAŠ 71A;266;77;77;75;2;40;35
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;011;SLOVINCI;DOM DVD-A;SLOVINCI 87/A;125;60;60;59;1;41;18
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;012;TIMARCI;DRUŠTVENI DOM;TIMARCI 48A;98;44;44;41;3;30;11
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;013;PAPIÆI;DRUŠTVENI DOM PAPIÆI;PAPIÆI 14 A;186;63;63;63;0;51;12
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;014;STAZA;DRUŠTVENI DOM;STAZA 86/C;168;114;114;111;3;58;53
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;015;DONJI HRASTOVAC;DRUŠTVENI DOM;DONJI HRASTOVAC 187/A;185;71;71;70;1;44;26
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;016;DRLJAÈA;PRIVATNA KUÆA MARIJANA GRBCA;DRLJAÈA 31;455;173;173;171;2;103;68
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;017;BRÐANI CESTA;PRIVATNA KUÆA STIPE JOZIÆA;BRÐANI CESTA 26A;274;115;115;113;2;74;39
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;018;BRÐANI KOSA;DRUŠTVENI DOM;BRÐANI KOSA 1F;65;40;40;40;0;11;29
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;019;KINJAÈKA;DRUŠTVENI DOM;KINJAÈKA 45A;191;71;71;67;4;32;35
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;020;BESTRMA;DRUŠTVENI DOM;BESTRMA BB;104;20;20;18;2;9;9
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;021;VELIKA GRADUSA;DRUŠTVENI DOM;VELIKA GRADUSA 27;152;50;50;49;1;36;13
