Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;GORAN ÐANIÆ;IVAN STRELEC
14;OSJEÈKO-BARANJSKA ŽUPANIJA;opæina;PODGORAÈ;001;PODGORAÈ;OSNOVNA ŠKOLA HINKA JUHNA;PODGORAÈ;282;124;124;119;5;85;34
14;OSJEÈKO-BARANJSKA ŽUPANIJA;opæina;PODGORAÈ;002;PODGORAÈ;OPÆINA PODGORAÈ;PODGORAÈ;400;193;193;188;5;128;60
14;OSJEÈKO-BARANJSKA ŽUPANIJA;opæina;PODGORAÈ;003;OSTROŠINCI;DRUŠTVENI DOM;OSTROŠINCI;93;57;57;57;0;43;14
14;OSJEÈKO-BARANJSKA ŽUPANIJA;opæina;PODGORAÈ;004;RAZBOJIŠTE;VATROGASNI DOM;RAZBOJIŠTE;214;135;135;132;3;76;56
14;OSJEÈKO-BARANJSKA ŽUPANIJA;opæina;PODGORAÈ;005;STIPANOVCI;VATROGASNI DOM;STIPANOVCI;330;181;181;178;3;104;74
14;OSJEÈKO-BARANJSKA ŽUPANIJA;opæina;PODGORAÈ;006;KRŠINCI;STARA ŠKOLA;KRŠINCI;93;61;61;60;1;46;14
14;OSJEÈKO-BARANJSKA ŽUPANIJA;opæina;PODGORAÈ;007;KELEŠINKA;VATROGASNI DOM;KELEŠINKA;43;25;25;24;1;13;11
14;OSJEÈKO-BARANJSKA ŽUPANIJA;opæina;PODGORAÈ;008;BIJELA LOZA;DRUŠTVENI DOM;BIJELA LOZA;102;56;56;55;1;52;3
14;OSJEÈKO-BARANJSKA ŽUPANIJA;opæina;PODGORAÈ;009;BUDIMCI;OSNOVNA ŠKOLA HINKA JUHNA;BUDIMCI;477;228;228;219;9;143;76
14;OSJEÈKO-BARANJSKA ŽUPANIJA;opæina;PODGORAÈ;010;POGANOVCI;OSNOVNA ŠKOLA HINKA JUHNA;POGANOVCI;167;80;80;79;1;57;22
