Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DEMOKRATSKI HSS - DHSS;KANDIDACIJSKA LISTA GRUPE BIRAČA -  TOMISLAV HARŠANJI;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA UMIROVLJENIKA - HSU;SNAGA SLAVONIJE I BARANJE - Snaga SiB
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;DRENJE;001;BUČJE GORJANSKO;MJESNI ODBOR BUČJE;GLAVNA ULICA 15;52;24;24;23;1;2;5;12;2;2
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;DRENJE;002;PODGORJE BRAČEVAČKO;MJESNI DOM;BOROVIČKA ULICA 102;60;37;37;37;0;5;3;26;1;2
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;DRENJE;003;SLATINIK DRENJSKI;DVD SLATINIK DRENJSKI;B.RADIĆA 2;205;127;127;122;5;37;41;39;5;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;DRENJE;004;BRAČEVCI;MJESNI ODBOR;ULICA VUKOVARSKA 4;154;75;74;69;5;9;6;33;4;17
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;DRENJE;005;PALJEVINA;MJESNI DOM;VLADIMIRA  NAZORA 52;142;76;76;74;2;8;9;51;2;4
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;DRENJE;006;POTNJANI;MJESNI DOM;BRAĆE RADIĆA 39;396;224;224;218;6;10;47;155;3;3
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;DRENJE;007;DRENJE;ZGRADA OPĆINE DRENJE;LJUDEVITA GAJA 25;465;285;285;283;2;90;73;65;13;42
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;DRENJE;008;KUĆANCI ĐAKOVAČKI;PROSTORIJE PODRUČNE ŠKOLE KUĆANCI ĐAKOVAČKI;BRAĆE RADIĆA 28;125;65;65;64;1;3;22;29;3;7
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;DRENJE;009;PRESLATINCI;DVD PRESLATINCI;K. TOMISLAVA 18;110;72;72;69;3;6;15;47;0;1
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;DRENJE;010;MANDIĆEVAC;PROSTORIJE PODRUČNE ŠKOLE MANDIĆEVAC;ŠKOLSKA 1;224;136;136;132;4;8;27;91;1;5
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;DRENJE;011;PRIDVORJE;PROSTORIJE PODRUČNE ŠKOLE PRIDVORJE;BRAĆE RADIĆA 17;134;71;71;70;1;11;13;37;2;7
