Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AKCIJA MLADIH - AM, UNIJA KVARNERA - UNIJA, ALTERNATIVA 101 - ALTERNATIVA;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;KVARNERSKA INICIJATIVA - REGIONALNA PLATFORMA - KVARNERSKA, LISTA ZA RIJEKU - RI;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, PRIMORSKO GORANSKI SAVEZ - PGS, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VIŠKOVO;001;MARINIÆI;"""DOM MARINIÆI""";MARINIÆI 9;1134;354;354;343;11;43;22;93;7;178
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VIŠKOVO;002;MARINIÆI;"""DOM MARINIÆI""";MARINIÆI 9;1135;322;322;316;6;37;18;94;26;141
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VIŠKOVO;003;MARINIÆI;"""DOM MARINIÆI""";MARINIÆI 9;1195;390;390;384;6;57;19;94;25;189
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VIŠKOVO;004;VIŠKOVO;"OŠ ""SVETI MATEJ""";VOZIŠÆE 13;1400;408;408;401;7;60;24;96;26;195
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VIŠKOVO;005;VIŠKOVO;"OŠ ""SVETI MATEJ""";VOZIŠÆE 13;1341;448;448;441;7;73;20;127;23;198
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VIŠKOVO;006;VIŠKOVO;"OŠ ""SVETI MATEJ""";VOZIŠÆE 13;1686;515;515;502;13;103;26;191;22;160
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VIŠKOVO;007;SROKI;"""VATROGASNI DOM""";GORNJI SROKI 53;1412;426;426;418;8;82;21;108;30;177
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VIŠKOVO;008;SROKI;"""VATROGASNI DOM""";GORNJI SROKI 53;1246;335;335;330;5;57;23;100;22;128
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VIŠKOVO;009;MARÈELJI;"""STARA ŠKOLA MARÈELJI""";MARÈELJI 89;1064;345;345;341;4;73;11;106;43;108
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VIŠKOVO;010;MARÈELJI;"""STARA ŠKOLA MARÈELJI""";MARÈELJI 89;1122;391;391;384;7;103;19;89;46;127
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VIŠKOVO;011;SARŠONI;"""STARA ŠKOLA SARŠONI""";SARŠONI BB;1519;488;488;474;14;72;25;117;25;235
