Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;IGOR FAZEKAŠ;SANJA MRZLJAK JOVANIÆ;DENIS OSTROŠIÆ;DARIO VRBASLIJA
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;001;BAKIÆ;PODRUÈNA OSNOVNA ŠKOLA BAKIÆ;BAKIÆ;426;190;190;182;8;118;7;50;7
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;002;BISTRICA;POSLOVNI PROSTOR TVRTKE TRGOCENTAR D.D.;BISTRICA 85;117;40;40;38;2;12;10;11;5
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;003;DONJI MELJANI;PODRUÈNA OSNOVNA ŠKOLA;DONJI MELJANI;203;94;94;93;1;41;13;38;1
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;004;GOLENIÆ;DOM MJESNOG ODBORA;GOLENIÆ;18;10;10;10;0;2;0;8;0
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;005;GORNJI MIHOLJAC;PODRUÈNA OSNOVNA ŠKOLA;GORNJI MIHOLJAC;177;110;110;108;2;62;13;31;2
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;006;IVANBRIJEG;KUÆA U VLASNIŠTVU ŽELJKA CVETIÆA;IVANBRIJEG BB;28;13;13;12;1;8;3;1;0
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;007;KOZICE;DOM MJESNOG ODBORA;KOZICE;392;169;169;169;0;89;9;55;16
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;008;LUKAVAC;DOM MJESNOG ODBORA;LUKAVAC;79;35;35;33;2;26;1;6;0
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;009;MARKOVO;DOM  MJESNOG ODBORA;MARKOVO;108;46;46;45;1;20;5;18;2
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;010;MEDINCI;DOM MJESNOG ODBORA;MEDINCI;177;69;69;65;4;16;19;21;9
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;011;NOVI SENKOVAC;PODRUÈNA OSNOVNA ŠKOLA;NOVI SENKOVAC;221;97;97;93;4;43;4;38;8
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;012;RADOSAVCI;KUÆA U VLASNIŠTVU ZDENKA FODORA;RADOSAVCI 14;82;53;53;52;1;20;8;23;1
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;013;SLADOJEVAÈKI LUG;DOM MJESNOG ODBORA;SLADOJEVAÈKI LUG;71;30;30;30;0;15;3;12;0
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;014;SLADOJEVCI;PODRUÈNA OSNOVNA ŠKOLA;SLADOJEVCI;580;210;210;205;5;117;18;64;6
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;015;SLATINA;DOM MJESNOG ODBORA BRAÆE RADIÆ I MATIJA GUBEC (ZGRADA ''III.RAJON'');BRAÆE RADIÆA 124;656;257;257;251;6;110;17;86;38
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;016;SLATINA;ZGRADA HRVATSKOG DOMA;BRAÆE RADIÆA 4;657;318;318;307;11;110;41;124;32
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;017;SLATINA;INDUSTRIJSKO-OBRTNIÈKA ŠKOLA SLATINA;TRG RUÐERA BOŠKOVIÆA 5 A;608;273;273;261;12;106;30;104;21
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;018;SLATINA;"ZGRADA DJEÈJEG VRTIÆA ""ZEKO""";TRG ZBORA NARODNE GARDE 1;637;306;305;295;10;113;44;98;40
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;019;SLATINA;ZGRADA NEVLADINIH ORGANIZACIJA I GRADSKOG DRUŠTVA CRVENOG KRIŽA;BRAÆE RADIÆA 13A;869;319;319;309;10;121;25;109;54
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;020;SLATINA;DOM DVD-A;ANTE KOVAÈIÆA 4;669;284;284;276;8;95;35;111;35
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;021;SLATINA;OSNOVNA ŠKOLA JOSIPA KOZARCA;NIKOLE ŠUBIÆA ZRINSKOG 2;634;282;282;274;8;101;33;101;39
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;022;SLATINA;OSNOVNA ŠKOLA JOSIPA KOZARCA;NIKOLE ŠUBIÆA ZRINSKOG 2;640;250;250;240;10;96;31;92;21
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;023;SLATINA;OSNOVNA ŠKOLA JOSIPA KOZARCA;NIKOLE ŠUBIÆA ZRINSKOG 2;714;317;317;311;6;140;21;117;33
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;024;SLATINA;OSNOVNA ŠKOLA JOSIPA KOZARCA;NIKOLE ŠUBIÆA ZRINSKOG 2;684;331;331;320;11;145;36;102;37
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;025;SLATINA;OSNOVNA ŠKOLA EUGENA KUMIÈIÆA;DOBRIŠE CESARIÆA 24;997;415;415;397;18;137;64;148;48
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;026;SLATINA;"DOM MJESNOG ODBORA ""VLADIMIR NAZOR""";SLATINA;810;336;336;331;5;134;32;127;38
